genus
Acer
Aesculus
Agonis
Albizia
Alnus
Angophora
Arbutus
Bauhinia
Brachychiton
Calocedrus
Casurina
Cedrela
Ceratonia
Cercidium
Cercis
Chionanthus
Chiranthodendron
Chlorisa
Cinnamomum
Citrus
Clematis
Cupressus
Diospyros
Dombeya
Eriobotrya
Erythirina
Erythrinia
Eucalyptus
Ficus
Fraxinus
Geijera
Ginkgo
Heteromeles
Hymenosporum
Jacaranda
Juglans
Koelreuteria
Lagunaria
Lauris
Liquidambar
Liriodendron
Lophostemon
Lyonothamnus
Magnolia
Malus
Marina
Markhamia
Melaleuca
Metrosideros
Morus
Myrica
Olea
Oyccria
Parkinsonia
Pinus
Pistache
Pistachia
Platanus
Podocarpus
Populus
Prunus
Pyrus
Quercus
Quillaja
Rhamnus
Rhus
Sophora
Spathodea
Stenocarpus
Tabebuia
Taxodium
Tipuana
Toona
Tristania
Ulmus
Umbellularia
