id,tree_type_id,maint_date,replace_date,plant_date,diameter_at_height,height,spread,grove,tree_status_id,agency_id,street_no,street,longitude,latitude
12407,75,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.9002500635232,34.43752196440227
12430,75,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.9002082490862,34.43767481470071
12408,75,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.900166671302,34.43757484375787
12429,44,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.9001320316797,34.43771172970821
12409,79,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.9001268194508,34.43760870391274
12428,79,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.9000886160285,34.43774155897461
12410,79,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.9000785455698,34.43762768664495
12427,77,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.9000416710289,34.43777333835573
12411,75,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.9000134897176,34.43767342164455
12426,75,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.9000067083807,34.43779123322242
12425,77,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.8999814076747,34.43780613799189
12412,75,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.8999340752374,34.43772605976923
12424,44,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.8999199170701,34.43783694997438
10893,67,,,01-Jun-04,,,,,,3,76,Bristol,-119.8999,34.4356
10889,51,,,01-Jun-04,,,,,,3,65,Bristol,-119.8999,34.4356
10890,51,,,01-Jun-04,,,,,,3,77,Bristol,-119.8999,34.4356
10891,51,,,01-Jun-04,,,,,,3,83,Bristol,-119.8999,34.4356
10892,51,,,01-Jun-04,,,,,,3,89,Bristol,-119.8999,34.4356
10894,51,,,01-Jun-04,,,,,,3,64,Bristol,-119.8999,34.4356
10895,51,,,01-Jun-04,,,,,,3,56,Bristol,-119.8999,34.4356
12413,79,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.8998956138907,34.43775482308297
12423,75,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.8998669263301,34.4378727023952
12414,79,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.8998331693551,34.43780436619162
12422,79,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.8997947128447,34.43791138408999
12415,75,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.8997791915551,34.4378291304083
12416,75,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.8997156528496,34.43787660504405
12417,75,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.8996353701436,34.437930973454
12418,75,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.8995624908776,34.43798226651501
12419,79,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.8995158726901,34.43802468964876
12420,75,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.8994715664345,34.43804937889179
12421,75,,,10-Jun-10,,,,,,,8000,Catherdral Oaks Rd.,-119.8994045395751,34.4380839273133
13223,39,,,07-Oct-11,,,,,,,64,Manchester,-119.89903,34.43559
13224,39,,,07-Oct-11,,,,,,,64,Manchester,-119.89903,34.43559
13225,39,,,07-Oct-11,,,,,,,70,Manchester,-119.89903,34.43559
13226,39,,,07-Oct-11,,,,,,,70,Manchester,-119.89903,34.43559
13543,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8974637909137,34.43999764245808
13544,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8974192228955,34.44006120536206
13545,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8973808016936,34.44010604354438
13546,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.897218805204,34.44026659739036
13547,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8971785734733,34.44031982835146
13548,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8970868685221,34.44040424065599
13549,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8970105992738,34.44047723627335
13550,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8969448590832,34.44053404530969
13551,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8968807276015,34.44060591091377
13542,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8967608072479,34.44100435067078
13552,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8967052599767,34.44071247016102
13541,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8966683727177,34.44106836175693
13553,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8966467500354,34.44076817551484
13554,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8965924855225,34.4408029585592
13540,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8965570786846,34.4411294784196
13555,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8965194979638,34.44084498691597
13556,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8964642413699,34.44087050061835
13557,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8964233460932,34.4408996708173
13539,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8963104376231,34.44124868677941
13538,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8962359823784,34.44128476003711
13537,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8960885741054,34.44133641498107
13536,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8960181602277,34.44135637836184
13558,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8959879641658,34.44110333566136
13535,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8959304309021,34.44140299102416
13559,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8958961356616,34.44113431732763
13534,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8958111554156,34.44143433345633
13533,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8957076455845,34.4414586019109
13532,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8956286262054,34.44148190404761
13560,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8955868101647,34.4412217982272
13531,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8955373197627,34.44148877070885
13530,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8954379696279,34.44151175629094
13561,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8953680455906,34.44127196952087
13529,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8953023153213,34.4415351257942
13562,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8952547185081,34.44129403399135
13528,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8951009249349,34.4415732730695
13527,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8950117082864,34.44157173183584
13526,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8949282891536,34.44158020990421
13525,75,,,03-Jan-12,,,,,,,7700,Cathedral Oaks Rd.,-119.8948405258504,34.44159539875357
12575,67,,,16-Oct-10,,,,,,,260,Pebble Beach,-119.8946,34.42787
12579,67,,,02-Oct-10,,,,,,,7635,Anchor,-119.8944,34.42597
12572,9,,,02-Oct-10,,,,,,,7632,Anchor,-119.8944,34.42597
12573,9,,,02-Oct-10,,,,,,,7632,Anchor,-119.8944,34.42597
12981,9,,,26-Feb-11,,,,,,,7626,Anchor,-119.8944,34.42597
